State,Standard time,Expedite Time,Expedite Price
Alabama,20 dias,10 dias,800
Alaska,20 dias,-,-
Arizona,45 dias,10 dias,200
Arkansas,5 dias,-,-
California,10 dias,-,-
Colorado,45 dias,5 dias,600
Connecticut,10 dias,5 dias,200
Delaware,15 dias,5 dias,300
District of Columbia,20 dias,5 dias,300
Florida,10 dias,-,-
Georgia,10 dias,5 dias,1000
Hawaii,10 dias,-,-
Idaho,60 dias,-,-
Illinois,45 dias,5 dias,300
Indiana,5 dias,-,-
Iowa,5 dias,-,-
Kansas,5 dias,-,-
Kentucky,60 dias,-,-
Louisiana,10 dias,-,-
Maine,15 dias,5 dias,200
Maryland,10 dias,5 dias,200
Massachusetts,10 dias,-,-
Michigan,15 dias,5 dias,200
Minnesota,10 dias,-,-
Mississippi,5 dias,-,-
Missouri,60 dias,-,-
Montana,10 dias,5 dias,150
Nebraska,5 dias,-,-
Nevada,5 dias,-,-
New Hampshire,5 dias,-,-
New Jersey,60 dias,-,-
New Mexico,60 dias,-,-
New York,10 dias,5 dias,150
North Carolina,15 dias,-,-
North Dakota,60 dias,-,-
Ohio,10 dias,5 dias,300
Oklahoma,5 dias,-,-
Oregon,60 dias,-,-
Pennsylvania,20 dias,-,-
Rhode Island,10 dias,-,-
South Carolina,5 dias,-,-
South Dakota,5 dias,-,-
Tennessee,60 dias,-,-
Texas,10 dias,5 dias,200
Utah,5 dias,-,-
Vermont,5 dias,-,-
Virginia,45 dias,5 dias,200
Washington,5 dias,-,-
West Virginia,15 dias,-,-
Wisconsin,20 dias,-,-
Wyoming,5 dias,-,-
